name,p_value,t_value
pronoun,2.4198293209210413e-14,-7.6355734522044605
ppron,2.0162433667081155e-28,-11.086254418388798
i,6.946616688684316e-22,-9.633368158066833
we,0.013198814493517138,2.478817952945738
you,0.001458514817677649,-3.1835699878327426
shehe,5.791115613649561e-76,-18.57872129653738
they,0.0005792706355709877,-3.4420867309091783
ipron,0.059142579754929474,-1.8873320438651848
TenseM,1.4942659733347951e-16,8.270842889960086
PastM,4.587281726306517e-16,-8.133926688937656
PresentM,2.3667151872759596e-103,21.865921990298432
FutureM,5.305486731492893e-68,17.563215724402422
ProgM,4.987880307408143e-09,-5.852102375195809
affect,4.3865214698498264e-69,17.707023153550818
posemo,5.124886975545979e-39,13.123290988670831
negemo,2.6496950042053478e-58,16.210811844225894
anx,4.394879357675537e-70,17.872296021377746
anger,2.6982876418110702e-09,5.95483925783237
sad,3.650241119589103e-14,7.583212576845276
death,1.2220220219896773e-08,5.701263257300632
preps,1.8724589095732475e-132,24.907970563899298
conj,1.8817372199646435e-26,10.673050017142206
cogmech,1.7116219593674773e-118,23.490893115583937
insight,4.5835058931066576e-23,9.914752547780598
cause,5.439804196628507e-175,28.84704942640513
discrep,3.0422578650651963e-59,16.334253476358104
tentat,2.922856102467685e-48,14.683728838532579
certain,3.483098777355409e-103,21.86170875386932
inhib,2.468889219775955e-274,37.028038133380555
incl,6.880046899331183e-83,19.478301999570107
excl,0.33866227088070766,0.9568549133264909
bio,4.1554115138367984e-129,24.60138694884294
body,1.957528050447592e-104,22.00971551756114
health,5.05041324777891e-115,23.18097540501651
sexual,7.910163281011467e-05,3.948547986755838
ingest,1.7054835207640363e-49,14.881517614730548
social,0.022962433158135342,-2.274362084926525
family,8.785502183793584e-53,-15.378014681140378
friend,1.0938723951661917e-05,-4.399617822827861
humans,4.3877164674491124e-16,-8.13881028559989
percept,3.765959240710296e-10,6.269431625830007
see,0.016903189202042236,-2.389160401144857
hear,5.623278282573129e-28,-10.993355196835594
feel,1.28661738935992e-65,17.253273845729865
